lon,lat,intensity
-74.8799,5.2621,1
-74.8789,5.2621,1
-74.8779,5.2621,1
-74.8769,5.2621,1
-74.8819,5.2611,1
-74.8809,5.2611,1
-74.8799,5.2611,1
-74.8789,5.2611,1
-74.8779,5.2611,1
-74.8769,5.2611,1
-74.8759,5.2611,1
-74.8749,5.2611,1
-74.8739,5.2611,1
-74.8729,5.2611,1
-74.8719,5.2611,1
-74.8819,5.2601,1
-74.8809,5.2601,1
-74.8799,5.2601,1
-74.8789,5.2601,1
-74.8779,5.2601,1
-74.8769,5.2601,1
-74.8759,5.2601,1
-74.8749,5.2601,1
-74.8739,5.2601,1
-74.8729,5.2601,1
-74.8719,5.2601,1
-74.8709,5.2601,1
-74.8699,5.2601,1
-74.8689,5.2601,1
-74.8679,5.2601,1
-74.8669,5.2601,1
-74.8659,5.2601,1
-74.8819,5.2591,1
-74.8809,5.2591,1
-74.8799,5.2591,1
-74.8789,5.2591,1
-74.8779,5.2591,1
-74.8769,5.2591,1
-74.8759,5.2591,1
-74.8749,5.2591,1
-74.8739,5.2591,1
-74.8729,5.2591,1
-74.8719,5.2591,1
-74.8709,5.2591,1
-74.8699,5.2591,1
-74.8689,5.2591,1
-74.8679,5.2591,1
-74.8669,5.2591,1
-74.8659,5.2591,1
-74.8649,5.2591,1
-74.8509,5.2591,1
-74.8489,5.2591,1
-74.8479,5.2591,1
-74.8469,5.2591,1
-74.8459,5.2591,1
-74.8829,5.2581,1
-74.8819,5.2581,1
-74.8809,5.2581,1
-74.8799,5.2581,1
-74.8789,5.2581,1
-74.8779,5.2581,1
-74.8739,5.2581,1
-74.8729,5.2581,1
-74.8719,5.2581,1
-74.8709,5.2581,1
-74.8699,5.2581,1
-74.8689,5.2581,1
-74.8679,5.2581,1
-74.8669,5.2581,1
-74.8659,5.2581,1
-74.8649,5.2581,1
-74.8639,5.2581,1
-74.8539,5.2581,1
-74.8529,5.2581,1
-74.8519,5.2581,1
-74.8509,5.2581,1
-74.8499,5.2581,1
-74.8489,5.2581,1
-74.8479,5.2581,1
-74.8469,5.2581,1
-74.8459,5.2581,1
-74.8449,5.2581,1
-74.8439,5.2581,1
-74.8429,5.2581,1
-74.8419,5.2581,1
-74.8409,5.2581,1
-74.8399,5.2581,1
-74.8829,5.2571,1
-74.8819,5.2571,1
-74.8809,5.2571,1
-74.8799,5.2571,1
-74.8719,5.2571,1
-74.8709,5.2571,1
-74.8699,5.2571,1
-74.8689,5.2571,1
-74.8679,5.2571,1
-74.8669,5.2571,1
-74.8659,5.2571,1
-74.8649,5.2571,1
-74.8639,5.2571,1
-74.8629,5.2571,1
-74.8619,5.2571,1
-74.8609,5.2571,1
-74.8599,5.2571,1
-74.8589,5.2571,1
-74.8579,5.2571,1
-74.8569,5.2571,1
-74.8559,5.2571,1
-74.8549,5.2571,1
-74.8539,5.2571,1
-74.8529,5.2571,1
-74.8519,5.2571,1
-74.8509,5.2571,1
-74.8499,5.2571,1
-74.8489,5.2571,1
-74.8479,5.2571,1
-74.8469,5.2571,1
-74.8459,5.2571,1
-74.8449,5.2571,1
-74.8439,5.2571,1
-74.8429,5.2571,1
-74.8419,5.2571,1
-74.8409,5.2571,1
-74.8399,5.2571,1
-74.8389,5.2571,1
-74.8379,5.2571,1
-74.8369,5.2571,1
-74.8359,5.2571,1
-74.8349,5.2571,1
-74.8829,5.2561,1
-74.8819,5.2561,1
-74.8809,5.2561,1
-74.8709,5.2561,1
-74.8699,5.2561,1
-74.8689,5.2561,1
-74.8679,5.2561,1
-74.8669,5.2561,1
-74.8659,5.2561,1
-74.8649,5.2561,1
-74.8639,5.2561,1
-74.8629,5.2561,1
-74.8619,5.2561,1
-74.8609,5.2561,1
-74.8599,5.2561,1
-74.8589,5.2561,1
-74.8579,5.2561,1
-74.8569,5.2561,1
-74.8559,5.2561,1
-74.8549,5.2561,1
-74.8539,5.2561,1
-74.8529,5.2561,1
-74.8519,5.2561,1
-74.8509,5.2561,1
-74.8499,5.2561,1
-74.8489,5.2561,1
-74.8479,5.2561,1
-74.8469,5.2561,1
-74.8459,5.2561,1
-74.8449,5.2561,1
-74.8439,5.2561,1
-74.8429,5.2561,1
-74.8419,5.2561,1
-74.8409,5.2561,1
-74.8399,5.2561,1
-74.8389,5.2561,1
-74.8379,5.2561,1
-74.8369,5.2561,1
-74.8359,5.2561,1
-74.8349,5.2561,1
-74.8339,5.2561,1
-74.8329,5.2561,1
-74.8319,5.2561,1
-74.8829,5.2551,1
-74.8819,5.2551,1
-74.8809,5.2551,1
-74.8679,5.2551,1
-74.8669,5.2551,1
-74.8659,5.2551,1
-74.8649,5.2551,1
-74.8639,5.2551,1
-74.8629,5.2551,1
-74.8619,5.2551,1
-74.8609,5.2551,1
-74.8599,5.2551,1
-74.8589,5.2551,1
-74.8579,5.2551,1
-74.8569,5.2551,1
-74.8559,5.2551,1
-74.8549,5.2551,1
-74.8539,5.2551,1
-74.8529,5.2551,1
-74.8519,5.2551,1
-74.8509,5.2551,1
-74.8499,5.2551,1
-74.8489,5.2551,1
-74.8479,5.2551,1
-74.8469,5.2551,1
-74.8459,5.2551,1
-74.8449,5.2551,1
-74.8439,5.2551,1
-74.8429,5.2551,1
-74.8419,5.2551,1
-74.8409,5.2551,1
-74.8399,5.2551,1
-74.8389,5.2551,1
-74.8379,5.2551,1
-74.8369,5.2551,1
-74.8359,5.2551,1
-74.8349,5.2551,1
-74.8339,5.2551,1
-74.8329,5.2551,1
-74.8319,5.2551,1
-74.8309,5.2551,1
-74.8829,5.2541,1
-74.8819,5.2541,1
-74.8809,5.2541,1
-74.8799,5.2541,1
-74.8659,5.2541,1
-74.8649,5.2541,1
-74.8639,5.2541,1
-74.8629,5.2541,1
-74.8619,5.2541,1
-74.8609,5.2541,1
-74.8599,5.2541,1
-74.8589,5.2541,1
-74.8579,5.2541,1
-74.8569,5.2541,1
-74.8559,5.2541,1
-74.8549,5.2541,1
-74.8539,5.2541,1
-74.8529,5.2541,1
-74.8519,5.2541,1
-74.8469,5.2541,1
-74.8459,5.2541,1
-74.8449,5.2541,1
-74.8439,5.2541,1
-74.8429,5.2541,1
-74.8419,5.2541,1
-74.8409,5.2541,1
-74.8399,5.2541,1
-74.8389,5.2541,1
-74.8379,5.2541,1
-74.8369,5.2541,1
-74.8359,5.2541,1
-74.8349,5.2541,1
-74.8339,5.2541,1
-74.8329,5.2541,1
-74.8319,5.2541,1
-74.8309,5.2541,1
-74.8299,5.2541,1
-74.8289,5.2541,1
-74.8249,5.2541,1
-74.8239,5.2541,1
-74.8229,5.2541,1
-74.8829,5.2531,1
-74.8819,5.2531,1
-74.8809,5.2531,1
-74.8799,5.2531,1
-74.8649,5.2531,1
-74.8639,5.2531,1
-74.8629,5.2531,1
-74.8619,5.2531,1
-74.8609,5.2531,1
-74.8599,5.2531,1
-74.8589,5.2531,1
-74.8579,5.2531,1
-74.8569,5.2531,1
-74.8559,5.2531,1
-74.8549,5.2531,1
-74.8539,5.2531,1
-74.8529,5.2531,1
-74.8459,5.2531,1
-74.8449,5.2531,1
-74.8439,5.2531,1
-74.8429,5.2531,1
-74.8419,5.2531,1
-74.8409,5.2531,1
-74.8399,5.2531,1
-74.8389,5.2531,1
-74.8379,5.2531,1
-74.8369,5.2531,1
-74.8359,5.2531,1
-74.8349,5.2531,1
-74.8339,5.2531,1
-74.8329,5.2531,1
-74.8319,5.2531,1
-74.8309,5.2531,1
-74.8299,5.2531,1
-74.8289,5.2531,1
-74.8279,5.2531,1
-74.8269,5.2531,1
-74.8259,5.2531,1
-74.8249,5.2531,1
-74.8239,5.2531,1
-74.8229,5.2531,1
